Month,Age Range,Classification,Category,Percentage %
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,6.1
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,11.8
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,9.4
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,7.2
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.4
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,0.5
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,0.7
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,39.9
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,8.6
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,25.6
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,5.6
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,8.3
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,Did not know,4.6
Feb-21,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.3
Feb-21,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",7.3
Feb-21,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-21,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,1.9
Feb-21,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,12.2
Feb-21,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,2.1
Feb-21,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-21,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,1.8
Feb-21,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,55.9
Feb-21,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,6.0
Feb-21,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,9.2
Feb-21,People aged 40 - 54 years,Age of youngest child in household,   5 years,3.6
Feb-21,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,17.8
Feb-21,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,19.4
Feb-21,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,44.1
Feb-21,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,28.5
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,18.0
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.5
Feb-21,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",0.2
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,1.9
Feb-21,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.7
Feb-21,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,2.2
Feb-21,People aged 55 years and over,Reason did not actively look for work,Personal reasons,47.7
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,5.0
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,15.5
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,0.9
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,20.5
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,3.0
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,0.5
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,2.3
Feb-21,People aged 55 years and over,Reason did not actively look for work,Family reasons,7.9
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,3.4
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Childcare,2.0
Feb-21,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,2.6
Feb-21,People aged 55 years and over,Reason did not actively look for work,Other reasons,14.1
Feb-21,People aged 55 years and over,Reason did not actively look for work,Did not know,1.8
Feb-21,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-21,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.5
Feb-21,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-21,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.0
Feb-21,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,0.9
Feb-21,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.1
Feb-21,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-21,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,0.5
Feb-21,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,7.3
Feb-21,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,0.9
Feb-21,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,0.8
Feb-21,People aged 55 years and over,Age of youngest child in household,   5 years,0.5
Feb-21,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,1.6
Feb-21,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,3.5
Feb-21,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,92.7
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,5.3
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.6
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.7
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.5
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.0
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.4
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,1.2
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,72.2
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,2.4
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,8.1
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,51.8
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,4.6
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.5
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,1.8
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,3.2
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,2.9
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,0.3
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,1.9
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,0.6
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,13.3
Feb-22,People aged 15 - 24 years,Reason did not actively look for work,Did not know,6.4
Feb-22,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.1
Feb-22,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.8
Feb-22,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-22,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,0.2
Feb-22,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,0.8
Feb-22,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-22,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.1
Feb-22,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.0
Feb-22,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,43.7
Feb-22,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,3.0
Feb-22,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,2.9
Feb-22,People aged 15 - 24 years,Age of youngest child in household,   5 years,1.3
Feb-22,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,7.0
Feb-22,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,29.6
Feb-22,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,56.3
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,7.7
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.0
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.3
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.9
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,1.2
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.2
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,1.1
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,32.4
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,2.9
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,8.5
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,12.7
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,4.4
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,1.4
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,1.3
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,1.3
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,46.1
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,2.1
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,39.0
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,4.9
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,11.6
Feb-22,People aged 25 - 39 years,Reason did not actively look for work,Did not know,2.1
Feb-22,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,2.9
Feb-22,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",11.9
Feb-22,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,1.3
Feb-22,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,6.9
Feb-22,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,13.5
Feb-22,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.0
Feb-22,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-22,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,1.6
Feb-22,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,64.8
Feb-22,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,32.3
Feb-22,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,14.8
Feb-22,People aged 25 - 39 years,Age of youngest child in household,   5 years,5.6
Feb-22,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,8.4
Feb-22,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,3.7
Feb-22,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,35.2
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,11.9
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,0.9
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.9
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.9
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,1.6
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.3
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,1.2
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,38.2
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,5.5
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,11.7
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,5.4
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,11.9
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,1.3
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,0.0
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,2.5
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,35.6
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,6.4
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,20.8
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,8.5
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,9.8
Feb-22,People aged 40 - 54 years,Reason did not actively look for work,Did not know,4.4
Feb-22,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.4
Feb-22,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",4.3
Feb-22,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.5
Feb-22,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,2.1
Feb-22,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,7.4
Feb-22,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,3.0
Feb-22,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-22,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,3.1
Feb-22,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,63.0
Feb-22,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,6.5
Feb-22,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,9.1
Feb-22,People aged 40 - 54 years,Age of youngest child in household,   5 years,4.1
Feb-22,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,19.6
Feb-22,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,23.7
Feb-22,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,37.0
Feb-22,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,22.9
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,12.9
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.4
Feb-22,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.5
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,1.0
Feb-22,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.0
Feb-22,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,2.0
Feb-22,People aged 55 years and over,Reason did not actively look for work,Personal reasons,42.9
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,2.9
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,11.5
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,0.3
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,22.4
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,3.1
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,0.8
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,1.9
Feb-22,People aged 55 years and over,Reason did not actively look for work,Family reasons,12.4
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,6.7
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Childcare,4.4
Feb-22,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,1.2
Feb-22,People aged 55 years and over,Reason did not actively look for work,Other reasons,16.5
Feb-22,People aged 55 years and over,Reason did not actively look for work,Did not know,5.3
Feb-22,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.4
Feb-22,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.3
Feb-22,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-22,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.7
Feb-22,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,2.2
Feb-22,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-22,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-22,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,0.8
Feb-22,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,5.7
Feb-22,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,0.7
Feb-22,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,0.8
Feb-22,People aged 55 years and over,Age of youngest child in household,   5 years,0.1
Feb-22,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,1.2
Feb-22,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,2.9
Feb-22,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,94.3
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,5.7
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.4
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.0
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.0
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.3
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.6
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,1.4
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,70.0
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,1.3
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,5.2
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,55.2
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,3.7
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.3
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,0.6
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,3.7
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,8.2
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,1.4
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,5.4
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,1.4
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,10.6
Feb-23,People aged 15 - 24 years,Reason did not actively look for work,Did not know,5.5
Feb-23,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-23,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",2.7
Feb-23,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-23,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,1.9
Feb-23,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,0.7
Feb-23,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-23,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-23,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.0
Feb-23,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,42.4
Feb-23,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,8.4
Feb-23,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,2.7
Feb-23,People aged 15 - 24 years,Age of youngest child in household,   5 years,1.6
Feb-23,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,7.5
Feb-23,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,22.2
Feb-23,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,57.6
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,7.1
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.0
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.8
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.8
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,1.5
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.3
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,1.7
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,28.3
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,1.6
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,6.9
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,12.1
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,4.6
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.5
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,0.4
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,2.3
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,52.9
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,2.8
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,43.0
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,7.1
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,9.9
Feb-23,People aged 25 - 39 years,Reason did not actively look for work,Did not know,1.8
Feb-23,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,2.2
Feb-23,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",12.3
Feb-23,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,2.4
Feb-23,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,9.1
Feb-23,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,12.3
Feb-23,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,2.0
Feb-23,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.3
Feb-23,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,2.4
Feb-23,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,71.2
Feb-23,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,38.7
Feb-23,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,14.6
Feb-23,People aged 25 - 39 years,Age of youngest child in household,   5 years,4.6
Feb-23,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,10.3
Feb-23,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,3.1
Feb-23,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,28.8
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,11.9
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,0.3
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.8
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.9
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,1.8
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",3.7
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,2.4
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,41.1
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,6.0
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,17.0
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,10.4
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,5.5
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.6
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,0.2
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,1.4
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,36.7
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,5.5
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,23.9
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,7.3
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,8.9
Feb-23,People aged 40 - 54 years,Reason did not actively look for work,Did not know,1.4
Feb-23,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-23,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",6.1
Feb-23,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.5
Feb-23,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,2.9
Feb-23,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,10.7
Feb-23,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.7
Feb-23,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.4
Feb-23,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,1.6
Feb-23,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,54.2
Feb-23,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,7.3
Feb-23,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,6.6
Feb-23,People aged 40 - 54 years,Age of youngest child in household,   5 years,5.5
Feb-23,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,16.3
Feb-23,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,18.6
